"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04060","Cytokine-cytokine receptor interaction",239,-0.566255662602978,-1.77708321727221,2.1513055036434e-07,7.46503009764259e-05,6.11423669456545e-05,4443,"tags=42%, list=17%, signal=35%","4049/650/90/651/3588/8744/8995/3581/3581/3581/3581/3581/3581/3581/3581/6375/3953/6369/7293/2921/2920/9966/9180/3589/269/1489/3561/1436/7042/3563/3563/3563/3563/3563/3563/3563/3563/53833/3606/3553/246778/6349/414062/29949/356/2833/5473/8740/1435/7124/3590/8743/90865/6347/4838/3596/6362/3456/4804/6374/943/5618/4352/7850/5197/146433/10344/1440/8807/3604/3575/3569/2660/6356/10148/8600/1271/6364/8808/57007/9235/1236/83729/1439/27190/6354/6351/27177/7133/3587/658/1232/6355/26525/8784/151449/5196/50615/6372/6348/3576/1437/3557/6352/653/8200/4803/5008/94/5617/11009/6387"
"hsa04080","Neuroactive ligand-receptor interaction",314,-0.511203130058126,-1.63086689029903,2.04269092459075e-06,0.000354406875416495,0.000290277131389211,2998,"tags=32%, list=12%, signal=29%","84634/10022/4295/6344/552/6343/22953/5724/134/80763/5027/185/5734/84539/3640/1145/2895/2641/3062/5731/2911/2901/9340/56923/200959/140/5024/623/5618/2899/6869/594857/7433/4988/10911/117579/122042/3060/23566/6866/2832/283869/4985/3375/9127/2557/3973/2570/64106/2846/4160/2904/5739/5646/2357/2915/3355/3351/718/796/57105/5031/8698/2554/2358/2893/100506013/799/10800/1511/1812/4887/2555/6751/2898/2917/51083/2569/2837/10886/5732/5733/5644/5368/1144/1910/1134/5179/4986/554/2567/3358/3814/885/2560/84109/1909/5737/1146/5617/5023/2561/2562/5645"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",80,-0.659245129984455,-1.91286159517618,7.51262998201376e-06,0.000651720650939693,0.000533792130300978,3268,"tags=55%, list=13%, signal=48%","4049/3588/6375/6369/2921/2920/3561/1436/53833/3606/6349/414062/29949/2833/5473/8740/1435/7124/8743/6347/6362/6374/5197/146433/10344/8807/3569/6356/6364/57007/1236/6354/6351/7133/3587/1232/6355/5196/6372/6348/3576/6352/11009/6387"
"hsa04820","Cytoskeleton in muscle cells",227,-0.544614814559766,-1.70836084636054,5.85627944962989e-06,0.000651720650939693,0.000533792130300978,4468,"tags=33%, list=17%, signal=28%","2027/1301/161176/3695/476/7059/3696/7273/8736/3691/1465/1756/3339/1287/4604/3678/442721/4619/7135/58/1278/1291/1298/1288/3674/4703/3694/477/482/7057/25802/91977/70/270/84676/1289/4608/1311/7136/1292/131873/1158/165904/8515/3679/1462/89/4632/4606/6442/7140/255631/8516/58498/58529/23500/7058/127294/1297/8048/1674/51778/27063/1277/8572/2335/633/3676/1299/72/2199/1824/10398/1293/137868"
"hsa04974","Protein digestion and absorption",95,-0.625846079469863,-1.83836557423955,1.68103990042077e-05,0.00116664169089201,0.000955538469712858,2906,"tags=40%, list=11%, signal=36%","340024/1300/1360/1278/4311/1291/1298/1288/7373/477/482/1294/4224/1506/1357/8645/1289/81578/1296/1292/131873/1307/5646/7512/255631/3783/1306/1280/1310/1359/5644/1297/1277/1299/84570/1293/6547/5645"
"hsa04151","PI3K-Akt signaling pathway",332,-0.486597232292996,-1.55117190217763,2.22999501368517e-05,0.00128968044958126,0.00105631342753508,4509,"tags=27%, list=17%, signal=23%","2057/1129/10161/7422/3695/7059/1950/3915/7450/3696/2788/2252/23533/5156/3691/26291/9180/9048/1287/54541/3678/3561/1436/3563/3563/3563/3563/3563/3563/3563/3563/3815/356/1101/1435/5105/3718/1278/1291/1298/1288/3674/3910/3694/7057/3456/4804/5618/5159/1311/1440/23566/5228/57121/3371/1292/131873/51764/3575/2792/3381/2321/3569/8515/3679/4908/2846/80310/10110/2668/3481/8516/7424/8074/1280/7097/146850/2785/51378/7058/3918/1297/5649/1277/6850/2335/3676/1299/2793/4803/5008/5294/1293/5617/3082"
"hsa04510","Focal adhesion",202,-0.528632014810617,-1.64712228314891,7.17609894072237e-05,0.00355729476061523,0.00291360408119555,4380,"tags=27%, list=17%, signal=23%","7422/3695/7059/5500/1950/3915/7450/3696/57144/5156/3691/1287/85366/3678/1101/1278/1291/1298/1288/3674/3910/64098/3694/7057/5159/859/1311/5228/3371/1292/131873/3381/2321/8515/3679/80310/5923/8516/7424/1280/58498/5063/7058/3918/91807/1297/5649/1277/2335/3676/1299/5880/10398/1293/3082"
"hsa05323","Rheumatoid arthritis",88,-0.61562828312812,-1.78586259772065,9.2111531686354e-05,0.0039953376868956,0.00327238336254152,3903,"tags=41%, list=15%, signal=35%","2921/2920/3589/7042/3606/245973/3553/6349/414062/3113/1435/7124/6347/3115/6374/3117/3117/941/3683/2321/3569/8600/6364/942/7097/245972/3383/940/54/50617/4314/6372/6348/3576/1437/6352/6387"
"hsa00982","Drug metabolism - cytochrome P450",44,-0.703043472609464,-1.89508853161226,0.000219677770609207,0.00692983512739954,0.00567588498224746,4529,"tags=57%, list=17%, signal=47%","7363/7364/2329/4128/1558/316/2949/1557/2946/1555/2938/653689/1559/1576/2940/4129/2939/2953/218/2326/1571/2328/2944/127/2327"
"hsa04062","Chemokine signaling pathway",172,-0.538566244158571,-1.65440359986996,0.000213901762118668,0.00692983512739954,0.00567588498224746,4230,"tags=26%, list=16%, signal=22%","6375/2788/6369/23533/2921/2920/6773/9844/3702/5330/6349/414062/2833/5473/3718/6347/6362/6374/5197/10344/51764/2792/6356/3055/6364/1236/2268/114/6354/146850/2785/6351/196883/1232/6355/5196/6372/6348/3576/6352/2793/5880/5294/6387"
"hsa05163","Human cytomegalovirus infection",208,-0.511813535690895,-1.59613048443564,0.000210759448719234,0.00692983512739954,0.00567588498224746,4481,"tags=19%, list=17%, signal=16%","3708/7422/3588/115004/5608/2788/3134/340061/5156/3553/5330/6349/414062/356/7124/5734/5743/5731/6347/3456/51764/2792/3569/114/4776/2785/6351/5732/5733/196883/3587/1232/6348/3576/6352/2793/5880/6387/1029"
"hsa00592","alpha-Linolenic acid metabolism",24,-0.752725881687984,-1.83224599311401,0.000417776450156801,0.0111514175541854,0.00913357421395435,4630,"tags=58%, list=18%, signal=48%","30814/8605/151056/9415/84647/54979/283748/255189/26279/391013/5322/5320/64600/50487"
"hsa05032","Morphine addiction",89,-0.591164051097736,-1.71605974454319,0.000413952532116353,0.0111514175541854,0.00913357421395435,2809,"tags=28%, list=11%, signal=25%","774/134/5144/5142/8622/8622/200959/3765/4988/51764/2792/2557/2570/5139/114/2554/1812/2785/2555/2569/196883/2567/2793/2560/2561/2562"
"hsa04512","ECM-receptor interaction",87,-0.586777725475504,-1.7054541838939,0.000460944311956941,0.0114248340177899,0.00935751610739656,5986,"tags=56%, list=23%, signal=44%","3912/22798/3672/3911/6382/7060/10319/6385/1834/56955/22987/3695/7059/3915/7450/3696/3691/3339/1287/3678/1101/1278/1291/1298/1288/3674/3910/3694/7057/1311/3371/1292/131873/3381/8515/3679/8516/1280/51206/1758/7058/3918/1297/5649/1277/2335/3676/1299/1293"
"hsa00430","Taurine and hypotaurine metabolism",15,-0.815940944328864,-1.8164347784476,0.000728981419925004,0.0168637701809318,0.0138122795354211,1066,"tags=33%, list=4%, signal=32%","2572/2326/2687/2328/2327"
"hsa00591","Linoleic acid metabolism",28,-0.72039176367683,-1.82183721509663,0.000872287205103415,0.0189177287606803,0.0154945753538107,4630,"tags=68%, list=18%, signal=56%","30814/8605/151056/1558/1573/84647/1557/54979/1559/283748/1576/255189/26279/391013/5322/5320/1571/64600/50487"
"hsa04621","NOD-like receptor signaling pathway",161,-0.51315964622332,-1.56784573859974,0.000940434816504382,0.0191959341957071,0.0157224396567296,6857,"tags=35%, list=26%, signal=26%","81631/3661/4792/4793/4615/10616/7188/10379/100506742/63940/11337/440738/3665/10135/846/1668/1670/3708/148022/64127/340061/2921/2920/6773/2633/84557/1508/3606/3553/222545/5330/345611/2635/4939/5027/7124/22900/6347/3456/4938/51393/3428/2634/9051/3569/64170/115362/1536/91662/22861/58484/10628/1535/820/3576/6352/9447"
"hsa04610","Complement and coagulation cascades",75,-0.589533547938089,-1.70871773846498,0.00108582541140322,0.0209323009864954,0.0171446117589982,5929,"tags=60%, list=23%, signal=46%","3426/7035/462/4179/1361/713/10878/2158/712/81494/11326/10544/5345/7450/717/735/5328/1604/5265/624/5270/9002/7056/721/730/5624/732/2266/5329/623/729/2152/10877/720/110384692/3687/3053/718/710/2159/3075/5648/5104/629/5055"
"hsa05150","Staphylococcus aureus infection",60,-0.615553265116257,-1.73968940639431,0.00117221279588533,0.0214083073774847,0.0175344850354038,5268,"tags=59%, list=20%, signal=47%","713/1668/1672/3586/712/1670/2213/3868/717/3866/3882/5724/2212/3113/721/3115/2266/3885/3881/3872/3117/3117/6404/390792/720/110384692/3683/2357/718/2358/3880/3383/3075/820/5648/629/3861"
"hsa00380","Tryptophan metabolism",40,-0.661254524605747,-1.75431316277333,0.00137737234509953,0.0227594382737875,0.01864112948255,4164,"tags=28%, list=16%, signal=24%","4128/316/1644/64577/26/8564/259307/121278/4129/6999/11185/3620/8942/23498"
"hsa00565","Ether lipid metabolism",47,-0.633100877419393,-1.71869279090082,0.00133246245801059,0.0227594382737875,0.01864112948255,3317,"tags=40%, list=13%, signal=35%","30814/8605/151056/23646/5337/84647/54979/5168/283748/255189/26279/391013/5322/9514/5320/7941/64600/50487/7368"
"hsa00350","Tyrosine metabolism",30,-0.697135281657839,-1.77711426846431,0.00145727405510817,0.0229851862328426,0.01882602846312,4164,"tags=47%, list=16%, signal=39%","4128/314/316/1644/1621/8639/3081/259307/4129/218/6898/5409/7306/127"
