"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",292,-0.595323199352923,-1.79040616072593,1.16367606925672e-10,1.43830362160131e-07,1.35476392905046e-07,4266,"tags=42%, list=18%, signal=35%","COL8A1/ADAMTS18/BMP2/COLGALT2/COL11A1/ICAM5/CAPN12/ITGB7/SERPINH1/TIMP2/LAMC1/VWF/ITGB8/P4HA3/LOXL4/CAPN5/MMP14/ITGB4/P4HA2/NCAN/LOXL2/ADAMTS1/JAM3/DMD/COL13A1/CAPN13/HSPG2/MATN3/COL4A5/PLOD2/PLOD1/MATN1/COL12A1/ITGA5/DDR2/CTSB/TGFB2/LTBP1/COL10A1/EFEMP2/MUSK/ADAMTS3/COL1A2/COL6A1/COL9A2/COL4A6/MMP7/ITGA2B/LAMA4/ITGB6/COL14A1/THBS1/EMILIN3/COL7A1/LOXL3/FGG/FBLN5/MMP2/COL5A1/MMP19/TMPRSS6/LOXL1/COL21A1/NRXN1/COMP/TNC/COL8A2/COL6A2/COL6A6/PECAM1/MFAP5/SPOCK3/IBSP/ITGAL/ITGA10/PCOLCE/ITGA7/CAPN9/VCAN/ICAM4/ITGAX/COL16A1/MMP12/ADAMTS5/ADAMTS16/VCAM1/COL24A1/ITGA8/LUM/COL15A1/COL2A1/COL19A1/CTSG/CDH1/DMP1/MMP13/ICAM1/PRSS1/LAMC2/MMP11/LOX/COL9A1/MMP3/FMOD/MFAP4/EMILIN1/COL1A1/GDF5/FN1/ICAM2/ACAN/BGN/ITGA4/COL9A3/CAPN6/COL25A1/FBLN2/COL6A3/MMP8/TTR/HAPLN1/MMP20/PRSS2"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",83,-0.707248181992022,-1.93767552107597,1.59655545883267e-07,6.57780849039059e-05,6.19575557006643e-05,4266,"tags=57%, list=18%, signal=47%","COL8A1/ICAM5/ITGB7/VWF/ITGB8/JAM3/COL13A1/HSPG2/COL4A5/ITGA5/COL10A1/COL1A2/COL6A1/COL9A2/COL4A6/ITGA2B/ITGB6/THBS1/COL7A1/FGG/COL5A1/COMP/TNC/COL8A2/COL6A2/COL6A6/PECAM1/IBSP/ITGAL/ITGA10/ITGA7/ICAM4/ITGAX/COL16A1/VCAM1/ITGA8/LUM/COL2A1/CDH1/ICAM1/COL9A1/COL1A1/FN1/ICAM2/ITGA4/COL9A3/COL6A3"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",134,-0.639124008224523,-1.83641003920165,1.40131620835034e-07,6.57780849039059e-05,6.19575557006643e-05,2637,"tags=31%, list=11%, signal=28%","PSG3/THBD/COL1A2/GYPC/ATP1B2/PROC/APOB/LCK/OLR1/PF4V1/SELPLG/PECAM1/ITGAL/MAG/ITGAX/IGHA1/L1CAM/GRB14/EPCAM/PSG9/IGHV4-34/PSG8/GP6/PSG11/ANGPT4/SPN/DOK2/SLC7A10/TREM1/PF4/SLC16A3/PSG7/COL1A1/PSG4/FN1/ITGA4/PSG6/PSG1/PSG4/PSG5/PSG2/CD177"
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",275,-0.533587513713942,-1.59966663614324,4.39965758924532e-06,0.0013594941950768,0.00128053191939614,4073,"tags=42%, list=17%, signal=35%","FFAR1/XCL1/NTSR2/GNRH2/XK/HTR7/TSHR/CXCL3/RXFP1/CXCL2/KEL/HRH2/ADRA1B/BDKRB2/OXGR1/APLNR/ECE1/OPN1SW/F2RL3/C5AR2/KISS1R/MLN/INSL5/AVPR1A/CCL3L1/CCL3L3/ECE2/CXCR3/PPBP/PTAFR/ADORA1/AGTR1/PTGER4/MCHR2/INSL3/HCRTR2/PTGER1/RGR/GPR37/CCL2/NMUR2/ADORA3/CXCL5/BDKRB1/PROKR1/TACR1/NPS/OPRM1/UTS2/RLN3/RXFP2/GPR183/HCRT/LPAR3/LPAR5/TAC3/NPBWR2/NPW/OPRD1/GPR17/LHCGR/CCL11/NPFFR1/PLPPR5/LPAR4/MC4R/CCL20/ACKR3/PTGIR/CCR7/FPR1/HTR1F/HTR1B/C3/CYSLTR2/P2RY6/S1PR4/FPR2/CCRL2/CCL7/CYSLTR1/PLPPR4/PTGDR2/DRD1/NPY2R/SSTR1/GAL/OPN4/CCL4/FFAR4/GPR68/UTS2R/NPFFR2/PTGER2/PTGER3/PNOC/CCR3/EDNRB/PF4/CMKLR1/PENK/CXCL6/GPR65/CCL3/CXCL8/CCL5/OPRK1/AVPR2/HTR2C/KISS1/CCK/QRFPR/EDNRA/PTGFR/OXER1/CXCL12"
"REACTOME_COLLAGEN_DEGRADATION","REACTOME_COLLAGEN_DEGRADATION",64,-0.699112355058463,-1.84835644200487,7.19812331091146e-06,0.00177937608245731,0.00167602618565644,3505,"tags=55%, list=15%, signal=47%","COL13A1/COL4A5/COL12A1/CTSB/COL10A1/COL1A2/COL6A1/COL9A2/COL4A6/MMP7/COL14A1/COL7A1/MMP2/COL5A1/MMP19/TMPRSS6/COL8A2/COL6A2/COL6A6/COL16A1/MMP12/COL15A1/COL2A1/COL19A1/MMP13/MMP11/COL9A1/MMP3/COL1A1/COL9A3/COL25A1/COL6A3/MMP8/MMP20/PRSS2"
"REACTOME_ONCOGENE_INDUCED_SENESCENCE","REACTOME_ONCOGENE_INDUCED_SENESCENCE",33,-0.7780457238833,-1.86060246648423,1.35019153671088e-05,0.00237420042103563,0.00223630187844099,8,"tags=15%, list=0%, signal=15%","CDKN2D/ETS2/AGO3/CDKN2B/CDKN2A"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",137,-0.592488295355439,-1.70657888745169,1.27439366329671e-05,0.00237420042103563,0.00223630187844099,4266,"tags=42%, list=18%, signal=34%","COL8A1/ADAMTS18/COL11A1/CAPN12/TIMP2/LAMC1/CAPN5/MMP14/ADAMTS1/COL13A1/CAPN13/HSPG2/COL4A5/COL12A1/CTSB/COL10A1/COL1A2/COL6A1/COL9A2/COL4A6/MMP7/COL14A1/COL7A1/MMP2/COL5A1/MMP19/TMPRSS6/COL8A2/COL6A2/COL6A6/SPOCK3/CAPN9/COL16A1/MMP12/ADAMTS5/ADAMTS16/COL15A1/COL2A1/COL19A1/CTSG/CDH1/MMP13/PRSS1/LAMC2/MMP11/COL9A1/MMP3/COL1A1/FN1/ACAN/COL9A3/CAPN6/COL25A1/COL6A3/MMP8/MMP20/PRSS2"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",166,-0.578786605598586,-1.68714384817455,1.53669930164118e-05,0.00237420042103563,0.00223630187844099,3719,"tags=43%, list=15%, signal=37%","CXCL3/RXFP1/CXCL2/KEL/BDKRB2/APLNR/ECE1/F2RL3/C5AR2/KISS1R/MLN/INSL5/AVPR1A/CCL3L1/CCL3L3/ECE2/CXCR3/PPBP/AGTR1/MCHR2/INSL3/HCRTR2/GPR37/CCL2/NMUR2/CXCL5/BDKRB1/PROKR1/TACR1/NPS/OPRM1/UTS2/RLN3/RXFP2/HCRT/TAC3/NPBWR2/NPW/OPRD1/CCL11/NPFFR1/MC4R/CCL20/ACKR3/CCR7/FPR1/C3/FPR2/CCRL2/CCL7/NPY2R/SSTR1/GAL/CCL4/UTS2R/NPFFR2/PNOC/CCR3/EDNRB/PF4/PENK/CXCL6/CCL3/CXCL8/CCL5/OPRK1/AVPR2/KISS1/CCK/QRFPR/EDNRA/CXCL12"
"REACTOME_GPCR_LIGAND_BINDING","REACTOME_GPCR_LIGAND_BINDING",390,-0.493751143939765,-1.50069979219148,1.83828386973801e-05,0.0025245765144402,0.0023779438127839,4308,"tags=40%, list=18%, signal=34%","LHB/CHRM2/LPAR6/GIPR/GPER1/TAS2R10/FFAR1/WNT7B/GIP/XCL1/NTSR2/GNRH2/GNG7/XK/HTR7/UCN/TSHR/PTH2/CXCL3/RXFP1/CXCL2/KEL/CD55/HRH2/ADRA1B/CRHR2/BDKRB2/OXGR1/UCN2/APLNR/WNT9A/ADCYAP1/TAS1R1/SHH/ECE1/GPRC6A/OPN1SW/F2RL3/C5AR2/KISS1R/SCTR/MLN/INSL5/AVPR1A/CCL3L1/CCL3L3/ECE2/SCT/CXCR3/PPBP/PTAFR/ADORA1/DHH/AGTR1/ADGRE2/PTGER4/MCHR2/INSL3/GCG/HCRTR2/PTGER1/RGR/GRM1/GPR37/GLP2R/CCL2/NMUR2/TAS2R1/TAS2R38/ADORA3/CXCL5/BDKRB1/RAMP3/PROKR1/TACR1/NPS/VIPR1/OPRM1/UTS2/RLN3/RXFP2/GPR183/HCRT/WNT11/LPAR3/LPAR5/TAC3/NPBWR2/NPW/OPRD1/IAPP/GPR17/GNG13/GNGT1/LHCGR/CCL11/NPFFR1/PLPPR5/LPAR4/MC4R/CCL20/ACKR3/PTGIR/CCR7/FPR1/WNT16/GRM5/HTR1F/HTR1B/C3/WNT6/CALCA/CYSLTR2/P2RY6/S1PR4/FPR2/CCRL2/CALCR/CCL7/CYSLTR1/PLPPR4/PTGDR2/DRD1/GNG3/NPY2R/SSTR1/GRM7/GAL/OPN4/CCL4/FFAR4/GPR68/UTS2R/NPFFR2/PTGER2/PTGER3/PNOC/CCR3/EDNRB/PF4/CMKLR1/PENK/CXCL6/GPR65/CCL3/CXCL8/CCL5/OPRK1/AVPR2/HTR2C/GNGT2/KISS1/CCK/QRFPR/EDNRA/PTGFR/OXER1/CXCL12"
"REACTOME_SIGNALING_BY_ERBB4","REACTOME_SIGNALING_BY_ERBB4",58,-0.699649478851805,-1.82572308829672,2.40298450892746e-05,0.00270008077548576,0.00254325441806102,1332,"tags=20%, list=6%, signal=19%","S100B/YAP1/GABRA1/APOE/PGR/NRG3/GABRG3/GABRB1/GFAP/GABRB2/CXCL12/GABRB3"
