"statistic","source","condition","score","p_value"
"viper","CEBPD","V1",-3.99435776028184,6.4869850750405e-05
"viper","REST","V1",-3.28098441245832,0.00103445460961242
"viper","HNF4A","V1",-3.27609891560038,0.00105251690958141
"viper","SP3","V1",-3.07996747553933,0.00207023201096331
"viper","SPI1","V1",-2.88625826333152,0.00389852103838152
"viper","ATF4","V1",-2.80836899261234,0.0049793137301932
"viper","FOS","V1",-2.79197807971406,0.00523869049032152
"viper","E2F4","V1",2.78603756460287,0.00533566880816916
"viper","ETV4","V1",-2.7505517700947,0.00594949896856048
"viper","ATF2","V1",-2.63201683553696,0.00848796567123045
"viper","ZNF263","V1",-2.61128856662002,0.0090201745484883
"viper","SOX9","V1",-2.58360902231677,0.0097772560519474
"viper","CEBPB","V1",-2.45697874163875,0.0140110977459273
"viper","E2F2","V1",2.44140123346097,0.0146303896635719
"viper","SP1","V1",-2.4396178449962,0.0147028063221781
"viper","GATA1","V1",-2.41175673897453,0.0158758699911539
"viper","STAT2","V1",-2.30526206077242,0.0211519009799878
"viper","ZEB1","V1",2.24552571346824,0.0247344034166752
"viper","ESR2","V1",-2.1327218067334,0.0329475539505329
"viper","REL","V1",-2.08538610492045,0.037034267102201
"viper","HIF1A","V1",-2.05892573530781,0.0395013533094893
"viper","STAT3","V1",-2.03468483919048,0.0418825946439434
"viper","STAT5B","V1",-2.02348614089618,0.0430230510298079
"viper","PAX6","V1",-2.02034657013944,0.0433474513824162
"viper","MITF","V1",-1.99789938810488,0.045727569007829
"viper","RUNX1","V1",-1.96445704330486,0.0494771132075752
"viper","FOXL2","V1",-1.9565614808764,0.050399047461488
"viper","RXRA","V1",-1.87058501641705,0.0614026230301634
"viper","CEBPA","V1",-1.85840539351128,0.0631114669479087
"viper","NFKB1","V1",-1.85103365389667,0.0641647116951142
"viper","FOXO1","V1",-1.82030243648111,0.0687129605583225
"viper","ETS1","V1",-1.80253647670288,0.0714610410864773
"viper","PRDM14","V1",1.79901412622765,0.0720164461868024
"viper","MYC","V1",1.78485148476385,0.0742854097586237
"viper","TFDP1","V1",1.75185264864681,0.0797991484624451
"viper","ATF1","V1",-1.72222757302284,0.0850283018620651
"viper","RELA","V1",-1.69780514167785,0.0895445451668168
"viper","MYCN","V1",1.56548410038187,0.117469442586607
"viper","ESR1","V1",-1.54387696639567,0.122618141108158
"viper","SOX10","V1",-1.50191333511193,0.133119492249732
"viper","GATA2","V1",-1.48883605515681,0.136530545402385
"viper","FOSL1","V1",-1.45671740568358,0.145194403118824
