"","PDX22","PDX43","PDX59","G83","PDX10","HK281"
"ENSG00000223972.5",2.05,1.03,0,0.95,0,1.03
"ENSG00000227232.5",111.52,127.19,122.42,162.53,88.17,116.86
"ENSG00000278267.1",4.09,10.26,4.94,12.36,13.36,20.5
"ENSG00000243485.5",0,0,0,0,3.56,0
"ENSG00000284332.1",0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0
"ENSG00000238009.6",0,0,0,0,0.89,1.03
"ENSG00000239945.1",0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0
"ENSG00000268903.1",0,0,0,82.69,0,2.05
"ENSG00000269981.1",1.02,0,0,72.23,0,2.05
"ENSG00000239906.1",0,0,0,13.31,0,0
"ENSG00000241860.7",0,1.03,0,2.85,0,4.1
"ENSG00000222623.1",0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0
"ENSG00000279928.2",3.07,4.1,0,6.65,0,5.13
"ENSG00000279457.4",313.07,327.2,157.96,214.8,153.19,332.13
"ENSG00000273874.1",1.02,0,0,0.95,0.89,0
"ENSG00000228463.10",91.06,20.51,39.49,15.21,36.52,43.05
"ENSG00000286448.1",0,0,0,0,0,0
"ENSG00000236679.2",51.15,36.93,15.8,15.21,22.27,21.53
"ENSG00000236601.2",0,0,0,0,0,0
"ENSG00000237094.12",8.18,9.23,1.97,63.68,10.69,10.25
"ENSG00000269732.1",0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0
"ENSG00000250575.1",5.12,0,1.97,0.95,0,6.15
"ENSG00000278757.1",0,0,0,0,0,0
"ENSG00000230021.10",8.18,11.28,19.74,7.6,17.81,23.58
"ENSG00000235146.2",0,0,0,0,0,0
"ENSG00000225972.1",13.3,4.1,1804.67,8.55,2.67,7.18
"ENSG00000225630.1",25856.65,2385.79,2360.48,15772.88,4376.66,1693.47
"ENSG00000237973.1",1104.94,663.63,7237.42,771.77,440.87,649.92
"ENSG00000278791.1",0,0,0,0,0,0
"ENSG00000229344.1",129.93,60.52,57.26,123.56,97.08,101.49
"ENSG00000240409.1",0,0,0,0.95,0,2.05
"ENSG00000248527.1",21540.22,10035.5,9467.58,23120.88,18933.46,10191.59
"ENSG00000198744.5",55.25,38.98,48.37,98.85,46.31,46.13
"ENSG00000268663.1",0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0
"ENSG00000228327.3",150.39,90.26,88.85,117.86,100.64,200.92
"ENSG00000223181.1",0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0
"ENSG00000237491.10",26.6,36.93,17.77,90.29,24.94,18.45
"ENSG00000285268.1",0,0,0,0,0,0
"ENSG00000230092.7",22.51,10.26,8.89,20.91,3.56,15.38
"ENSG00000177757.2",9.21,24.62,3.95,0,1.78,63.56
"ENSG00000228794.10",1678.9,911.85,669.35,1110.14,522.81,1390.04
"ENSG00000225880.5",47.06,52.31,73.06,151.12,23.16,45.1
"ENSG00000288531.1",8.18,2.05,0,3.8,0,1.03
"ENSG00000230368.2",2.05,0,0,0,0,0
"ENSG00000234711.1",6.14,0,0,9.5,0,0
"ENSG00000283040.1",0,0,0,0,0,0
"ENSG00000272438.1",9.21,19.49,0,1.9,22.27,10.25
"ENSG00000230699.2",31.72,52.31,0,36.12,43.64,60.48
"ENSG00000241180.1",0,0,0,0,0,0
"ENSG00000223764.2",0,6.15,0,69.38,64.13,12.3
"ENSG00000187634.13",34.79,24.62,1.97,11.41,89.07,378.26
"ENSG00000188976.11",18917.01,10838.63,9719.33,16261.41,5105.21,11610.34
"ENSG00000187961.14",826.66,846.21,494.6,1839.14,339.34,1203.47
